group_id,kept_bit,kept_prevalence,n_features,max_distance_to_kept,mean_distance_to_kept,member_bits
1595,253,49,1,0.0,0.0,253
787,254,148,1,0.0,0.0,254
151,255,746,1,0.0,0.0,255
1759,256,37,1,0.0,0.0,256
602,257,201,1,0.0,0.0,257
1806,258,34,1,0.0,0.0,258
1341,259,71,1,0.0,0.0,259
1215,260,84,1,0.0,0.0,260
1683,261,43,1,0.0,0.0,261
1002,262,110,1,0.0,0.0,262
576,263,212,1,0.0,0.0,263
1901,264,25,1,0.0,0.0,264
259,265,480,1,0.0,0.0,265
1807,266,34,1,0.0,0.0,266
1216,267,84,1,0.0,0.0,267
488,268,253,1,0.0,0.0,268
1281,269,77,1,0.0,0.0,269
387,270,336,1,0.0,0.0,270
1303,271,75,1,0.0,0.0,271
1355,272,70,1,0.0,0.0,272
1180,273,89,1,0.0,0.0,273
2029,274,10,1,0.0,0.0,274
1735,275,39,1,0.0,0.0,275
1439,276,62,1,0.0,0.0,276
675,277,175,1,0.0,0.0,277
287,278,437,1,0.0,0.0,278
1930,279,22,1,0.0,0.0,279
1404,280,66,1,0.0,0.0,280
207,281,587,1,0.0,0.0,281
439,282,288,1,0.0,0.0,282
102,283,1002,1,0.0,0.0,283
1760,284,37,1,0.0,0.0,284
1696,285,42,1,0.0,0.0,285
1549,286,52,1,0.0,0.0,286
952,287,116,1,0.0,0.0,287
1031,288,106,1,0.0,0.0,288
197,289,610,1,0.0,0.0,289
1651,290,45,1,0.0,0.0,290
953,291,116,1,0.0,0.0,291
1736,292,39,1,0.0,0.0,292
1312,293,74,1,0.0,0.0,293
38,294,2153,1,0.0,0.0,294
1150,295,93,1,0.0,0.0,295
1250,296,80,1,0.0,0.0,296
1328,297,72,1,0.0,0.0,297
1924,298,23,1,0.0,0.0,298
1384,299,68,1,0.0,0.0,299
1954,300,19,1,0.0,0.0,300
718,301,163,1,0.0,0.0,301
1884,302,27,1,0.0,0.0,302
1893,303,26,1,0.0,0.0,303
608,304,199,1,0.0,0.0,304
119,305,915,1,0.0,0.0,305
1291,306,76,1,0.0,0.0,306
963,307,115,1,0.0,0.0,307
1684,308,43,1,0.0,0.0,308
257,309,484,1,0.0,0.0,309
